year,sex,industry1,industry2,employment_status,employed
2012,Female,Services,Accommodation And Food Services,Employees,60400
2012,Female,Services,Accommodation And Food Services,Own Account Workers,4600
2012,Female,Services,Accommodation And Food Services,Contributing Family Workers,3100
2012,Female,Services,Information And Communications,Employers,1300
2012,Female,Services,Information And Communications,Employees,29800
2012,Female,Services,Information And Communications,Own Account Workers,800
2012,Female,Services,Information And Communications,Contributing Family Workers,0
2012,Female,Services,Financial And Insurance Services,Employers,700
2012,Female,Services,Financial And Insurance Services,Employees,73100
2012,Female,Services,Financial And Insurance Services,Own Account Workers,5900
2012,Female,Services,Financial And Insurance Services,Contributing Family Workers,0
2012,Female,Services,Real Estate Services,Employers,800
2012,Female,Services,Real Estate Services,Employees,17300
2012,Female,Services,Real Estate Services,Own Account Workers,7100
2012,Female,Services,Real Estate Services,Contributing Family Workers,100
2012,Female,Services,Professional Services,Employers,4300
2012,Female,Services,Professional Services,Employees,56400
2012,Female,Services,Professional Services,Own Account Workers,3600
2012,Female,Services,Professional Services,Contributing Family Workers,100
2012,Female,Services,Administrative And Support Services,Employers,1900
2012,Female,Services,Administrative And Support Services,Employees,40700
2012,Female,Services,Administrative And Support Services,Own Account Workers,1500
2012,Female,Services,Administrative And Support Services,Contributing Family Workers,400
2012,Female,Services,Public Administration And Education,Employers,2000
2012,Female,Services,Public Administration And Education,Employees,113900
2012,Female,Services,Public Administration And Education,Own Account Workers,9000
2012,Female,Services,Public Administration And Education,Contributing Family Workers,0
2012,Female,Services,Health And Social Services,Employers,1700
2012,Female,Services,Health And Social Services,Employees,67900
2012,Female,Services,Health And Social Services,Own Account Workers,1100
2012,Female,Services,Health And Social Services,Contributing Family Workers,100
2012,Female,Services,"Arts, Entertainment And Recreation",Employers,200
2012,Female,Services,"Arts, Entertainment And Recreation",Employees,17300
2012,Female,Services,"Arts, Entertainment And Recreation",Own Account Workers,800
2012,Female,Services,"Arts, Entertainment And Recreation",Contributing Family Workers,0
2012,Female,Services,"Other Community, Social And Personal Services",Employers,3000
2012,Female,Services,"Other Community, Social And Personal Services",Employees,25600
2012,Female,Services,"Other Community, Social And Personal Services",Own Account Workers,8900
2012,Female,Services,"Other Community, Social And Personal Services",Contributing Family Workers,500
2012,Female,Others,Others,Employers,100
2012,Female,Others,Others,Employees,6400
2012,Female,Others,Others,Own Account Workers,200
2012,Female,Others,Others,Contributing Family Workers,200
2013,Male,Manufacturing,Manufacturing,Employers,11100
2013,Male,Manufacturing,Manufacturing,Employees,161400
2013,Male,Manufacturing,Manufacturing,Own Account Workers,2900
2013,Male,Manufacturing,Manufacturing,Contributing Family Workers,200
2013,Male,Construction,Construction,Employers,12600
2013,Male,Construction,Construction,Employees,58900
2013,Male,Construction,Construction,Own Account Workers,6400
2013,Male,Construction,Construction,Contributing Family Workers,100
2013,Male,Services,Wholesale And Retail Trade,Employers,23100
2013,Male,Services,Wholesale And Retail Trade,Employees,117700
2013,Male,Services,Wholesale And Retail Trade,Own Account Workers,12700
2013,Male,Services,Wholesale And Retail Trade,Contributing Family Workers,1500
2013,Male,Services,Transportation And Storage,Employers,4400
2013,Male,Services,Transportation And Storage,Employees,91900
2013,Male,Services,Transportation And Storage,Own Account Workers,48400
2013,Male,Services,Transportation And Storage,Contributing Family Workers,0
2013,Male,Services,Accommodation And Food Services,Employers,6300
2013,Male,Services,Accommodation And Food Services,Employees,47400
2013,Male,Services,Accommodation And Food Services,Own Account Workers,5200
2013,Male,Services,Accommodation And Food Services,Contributing Family Workers,1100
2013,Male,Services,Information And Communications,Employers,4400
2013,Male,Services,Information And Communications,Employees,48900
2013,Male,Services,Information And Communications,Own Account Workers,2400
2013,Male,Services,Information And Communications,Contributing Family Workers,0
2013,Male,Services,Financial And Insurance Services,Employers,2500
2013,Male,Services,Financial And Insurance Services,Employees,57100
