year,sex,industry1,industry2,employment_status,employed
2021,female,services,public administration and education,own account workers,10900
2021,female,services,public administration and education,contributing family workers,300
2021,female,services,health and social services,employers,1500
2021,female,services,health and social services,employees,111800
2021,female,services,health and social services,own account workers,2700
2021,female,services,health and social services,contributing family workers,100
2021,female,services,"arts, entertainment and recreation",employers,100
2021,female,services,"arts, entertainment and recreation",employees,15400
2021,female,services,"arts, entertainment and recreation",own account workers,600
2021,female,services,"arts, entertainment and recreation",contributing family workers,0
2021,female,services,"other community, social and personal services",employers,2400
2021,female,services,"other community, social and personal services",employees,35200
2021,female,services,"other community, social and personal services",own account workers,3700
2021,female,services,"other community, social and personal services",contributing family workers,800
2021,female,others,others,employers,100
2021,female,others,others,employees,6600
2021,female,others,others,own account workers,300
2021,female,others,others,contributing family workers,100
2022,male,manufacturing,manufacturing,employers,6400
2022,male,manufacturing,manufacturing,employees,131300
2022,male,manufacturing,manufacturing,own account workers,3700
2022,male,manufacturing,manufacturing,contributing family workers,300
2022,male,construction,construction,employers,10200
2022,male,construction,construction,employees,53300
2022,male,construction,construction,own account workers,5200
2022,male,construction,construction,contributing family workers,100
2022,male,services,wholesale and retail trade,employers,17800
2022,male,services,wholesale and retail trade,employees,144100
2022,male,services,wholesale and retail trade,own account workers,11700
2022,male,services,wholesale and retail trade,contributing family workers,400
2022,male,services,transportation and storage,employers,2500
2022,male,services,transportation and storage,employees,85200
2022,male,services,transportation and storage,own account workers,64900
2022,male,services,transportation and storage,contributing family workers,0
2022,male,services,accommodation and food services,employers,4200
2022,male,services,accommodation and food services,employees,44500
2022,male,services,accommodation and food services,own account workers,5100
2022,male,services,accommodation and food services,contributing family workers,1000
2022,male,services,information and communications,employers,3300
2022,male,services,information and communications,employees,70700
2022,male,services,information and communications,own account workers,5300
2022,male,services,information and communications,contributing family workers,0
2022,male,services,financial and insurance services,employers,3000
2022,male,services,financial and insurance services,employees,101300
2022,male,services,financial and insurance services,own account workers,13200
2022,male,services,financial and insurance services,contributing family workers,0
2022,male,services,real estate services,employers,600
2022,male,services,real estate services,employees,18600
2022,male,services,real estate services,own account workers,10300
2022,male,services,real estate services,contributing family workers,0
2022,male,services,professional services,employers,7700
2022,male,services,professional services,employees,86000
2022,male,services,professional services,own account workers,10300
2022,male,services,professional services,contributing family workers,200
2022,male,services,administrative and support services,employers,2900
2022,male,services,administrative and support services,employees,65600
2022,male,services,administrative and support services,own account workers,1500
2022,male,services,administrative and support services,contributing family workers,300
2022,male,services,public administration and education,employers,1400
2022,male,services,public administration and education,employees,157100
2022,male,services,public administration and education,own account workers,6000
2022,male,services,public administration and education,contributing family workers,0
2022,male,services,health and social services,employers,2700
2022,male,services,health and social services,employees,35200
2022,male,services,health and social services,own account workers,800
2022,male,services,health and social services,contributing family workers,0
2022,male,services,"arts, entertainment and recreation",employers,300
2022,male,services,"arts, entertainment and recreation",employees,14300
2022,male,services,"arts, entertainment and recreation",own account workers,1300
2022,male,services,"arts, entertainment and recreation",contributing family workers,0
2022,male,services,"other community, social and personal services",employers,3000
2022,male,services,"other community, social and personal services",employees,23200
2022,male,services,"other community, social and personal services",own account workers,3600
2022,male,services,"other community, social and personal services",contributing family workers,100
2022,male,others,others,employers,400
2022,male,others,others,employees,13900
2022,male,others,others,own account workers,300
2022,male,others,others,contributing family workers,0
2022,female,manufacturing,manufacturing,employers,2000
2022,female,manufacturing,manufacturing,employees,79200
2022,female,manufacturing,manufacturing,own account workers,1500
2022,female,manufacturing,manufacturing,contributing family workers,500
2022,female,construction,construction,employers,1500
2022,female,construction,construction,employees,27000
2022,female,construction,construction,own account workers,300
2022,female,construction,construction,contributing family workers,300
2022,female,services,wholesale and retail trade,employers,7500
2022,female,services,wholesale and retail trade,employees,161500
2022,female,services,wholesale and retail trade,own account workers,8000
2022,female,services,wholesale and retail trade,contributing family workers,700
2022,female,services,transportation and storage,employers,900
2022,female,services,transportation and storage,employees,48600
2022,female,services,transportation and storage,own account workers,5300
2022,female,services,transportation and storage,contributing family workers,0
2022,female,services,accommodation and food services,employers,3000
2022,female,services,accommodation and food services,employees,64300
2022,female,services,accommodation and food services,own account workers,3500
2022,female,services,accommodation and food services,contributing family workers,1100
2022,female,services,information and communications,employers,1200
2022,female,services,information and communications,employees,50300
2022,female,services,information and communications,own account workers,2100
2022,female,services,information and communications,contributing family workers,0
2022,female,services,financial and insurance services,employers,1100
2022,female,services,financial and insurance services,employees,106700
2022,female,services,financial and insurance services,own account workers,10400
2022,female,services,financial and insurance services,contributing family workers,0
2022,female,services,real estate services,employers,400
2022,female,services,real estate services,employees,20100
2022,female,services,real estate services,own account workers,9600
