employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile,Key
100.0,100.0,3127.0,3100.0,3151.0,3100.0,3000.0,3338.0,186
100.0,100.0,3204.0,3200.0,3229.0,3200.0,3000.0,3500.0,187
88.0,88.0,3396.0,3000.0,3415.0,3000.0,2849.0,4194.0,188
85.7,75.0,3217.0,3100.0,3333.0,3150.0,2900.0,3500.0,189
92.3,92.3,3229.0,3000.0,3424.0,3250.0,2950.0,3556.0,190
93.0,87.3,3067.0,3050.0,3209.0,3100.0,2964.0,3443.0,191
97.2,94.4,3230.0,3260.0,3464.0,3511.0,3115.0,3860.0,192
88.8,78.0,2445.0,2500.0,2634.0,2500.0,2300.0,2900.0,193
97.1,97.1,2509.0,2600.0,2553.0,2600.0,2475.0,2613.0,194
98.6,97.3,4225.0,3500.0,4438.0,3770.0,3000.0,4850.0,195
97.3,96.5,3182.0,2850.0,3240.0,2875.0,2850.0,3125.0,196
92.2,87.6,3343.0,3100.0,3502.0,3200.0,2900.0,3700.0,197
100.0,100.0,4036.0,4184.0,4395.0,4583.0,3800.0,4876.0,198
86.0,86.0,3699.0,3650.0,3724.0,3700.0,3450.0,4000.0,199
,,,,,,,,200
92.6,76.5,3079.0,3000.0,3197.0,3113.0,2900.0,3450.0,201
,,,,,,,,202
86.8,80.9,3156.0,3100.0,3373.0,3300.0,3000.0,3600.0,203
,,,,,,,,204
85.1,83.0,3489.0,3350.0,3577.0,3500.0,3200.0,4000.0,205
95.3,93.0,3125.0,3100.0,3206.0,3200.0,3000.0,3300.0,206
92.4,91.4,3489.0,3300.0,3535.0,3300.0,3150.0,3800.0,207
88.6,86.2,3345.0,3200.0,3446.0,3300.0,3000.0,3690.0,208
89.7,82.1,3472.0,3200.0,3673.0,3300.0,3000.0,3835.0,209
,,,,,,,,210
87.3,80.0,3271.0,3200.0,3375.0,3275.0,3000.0,3500.0,211
,,,,,,,,212
82.9,76.8,3213.0,3100.0,3397.0,3200.0,3000.0,3600.0,213
88.0,80.7,3248.0,3200.0,3388.0,3250.0,3000.0,3600.0,214
,,,,,,,,215
95.0,95.0,3249.0,3200.0,3271.0,3200.0,3000.0,3300.0,216
79.3,56.9,3284.0,2800.0,3457.0,2800.0,2200.0,3000.0,217
81.8,76.6,2978.0,3000.0,3045.0,3200.0,2800.0,3500.0,218
85.1,74.4,2921.0,2900.0,3008.0,3000.0,2600.0,3330.0,219
87.4,75.9,3322.0,3200.0,3496.0,3300.0,3000.0,3800.0,220
88.0,74.0,3238.0,3000.0,3322.0,3314.0,2604.0,3743.0,221
88.4,55.8,3475.0,3000.0,3753.0,3000.0,2800.0,3600.0,222
73.3,52.0,3099.0,3121.0,3264.0,3200.0,2800.0,3562.0,223
85.7,79.4,3260.0,3000.0,3402.0,3125.0,2700.0,3600.0,224
100.0,100.0,2832.0,2800.0,2882.0,2800.0,2500.0,3105.0,225
74.6,65.3,3117.0,3000.0,3229.0,3190.0,2875.0,3600.0,226
83.9,72.3,2960.0,2900.0,3139.0,3000.0,2800.0,3500.0,227
95.3,84.4,3291.0,3000.0,3440.0,3205.0,2925.0,3500.0,228
81.8,72.7,3254.0,3125.0,3402.0,3240.0,2950.0,3500.0,229
82.1,69.6,3098.0,3000.0,3186.0,3200.0,2900.0,3400.0,230
90.7,72.1,3232.0,3000.0,3307.0,3295.0,2900.0,3600.0,231
100.0,100.0,3496.0,3500.0,3604.0,3504.0,3500.0,3855.0,232
100.0,100.0,3551.0,3500.0,3622.0,3500.0,3500.0,3605.0,233
88.4,74.6,2839.0,2880.0,2999.0,3000.0,2700.0,3215.0,234
83.0,70.5,3266.0,3310.0,3310.0,3310.0,3000.0,3625.0,235
88.6,79.8,3317.0,3300.0,3442.0,3310.0,3000.0,3686.0,236
88.2,80.3,3164.0,3000.0,3341.0,3000.0,2800.0,3700.0,237
96.0,93.1,4173.0,3750.0,4326.0,3800.0,3300.0,4600.0,238
97.6,97.6,2817.0,2850.0,2983.0,2850.0,2700.0,2960.0,239
98.6,98.6,3547.0,3000.0,3587.0,3000.0,2850.0,3634.0,240
92.6,85.2,3230.0,3500.0,3291.0,3500.0,2800.0,3800.0,241
,,,,,,,,242
,,,,,,,,243
97.0,95.0,3847.0,3700.0,3890.0,3700.0,3300.0,4400.0,244
90.3,87.1,3255.0,3300.0,3301.0,3300.0,3000.0,3500.0,245
97.2,97.2,3597.0,3500.0,3699.0,3550.0,3200.0,4100.0,246
100.0,100.0,4053.0,4000.0,4083.0,4000.0,4000.0,4400.0,247
97.6,96.4,4054.0,4114.0,4099.0,4127.0,3700.0,4500.0,248
72.0,60.0,2907.0,3000.0,2908.0,3000.0,2700.0,3200.0,249
94.3,90.8,2989.0,3000.0,3067.0,3000.0,2800.0,3215.0,250
93.9,89.6,3146.0,3000.0,3325.0,3100.0,2810.0,3500.0,251
86.2,75.9,3256.0,3200.0,3357.0,3300.0,3000.0,3500.0,252
86.0,82.9,3400.0,3300.0,3529.0,3500.0,3000.0,4000.0,253
96.5,95.3,3300.0,3300.0,3366.0,3350.0,3200.0,3500.0,254
91.8,90.6,4119.0,4000.0,4252.0,4000.0,3325.0,4583.0,255
92.1,90.4,3452.0,3200.0,3589.0,3300.0,3000.0,3700.0,256
82.6,73.9,3768.0,3735.0,3812.0,3800.0,3500.0,4420.0,257
88.1,85.7,3318.0,3430.0,3337.0,3450.0,3000.0,3670.0,258
96.1,94.7,3624.0,3475.0,3724.0,3500.0,3300.0,4030.0,259
100.0,95.0,3121.0,3200.0,3391.0,3350.0,3050.0,3790.0,260
83.3,80.0,3279.0,3200.0,3422.0,3300.0,3000.0,3600.0,261
96.9,96.9,4866.0,4600.0,4910.0,4700.0,4200.0,5800.0,262
100.0,100.0,4352.0,4500.0,4729.0,4900.0,4500.0,5000.0,263
97.3,97.3,3175.0,3200.0,3356.0,3400.0,3200.0,3445.0,264
100.0,100.0,3219.0,3200.0,3466.0,3435.0,3300.0,3700.0,265
82.4,41.2,3244.0,3200.0,3344.0,3300.0,3000.0,3600.0,266
,,,,,,,,267
85.2,77.8,3203.0,3000.0,3355.0,3100.0,3000.0,4000.0,268
84.3,64.2,2859.0,2900.0,3052.0,3000.0,2620.0,3200.0,269
83.9,76.2,3245.0,3200.0,3321.0,3300.0,3000.0,3600.0,270
,,,,,,,,271
99.0,97.9,3431.0,3500.0,3717.0,3500.0,3400.0,3929.0,272
71.9,59.4,3400.0,3462.0,3433.0,3500.0,3238.0,3550.0,273
97.3,93.0,3287.0,2900.0,3427.0,3000.0,2850.0,3500.0,274
97.7,97.7,3597.0,3100.0,3701.0,3200.0,2850.0,4110.0,275
93.9,88.2,3513.0,3200.0,3611.0,3300.0,3000.0,4000.0,276
98.3,93.3,4050.0,3800.0,4130.0,3868.0,3200.0,4600.0,277
90.3,85.8,3798.0,3500.0,3946.0,3500.0,3200.0,4100.0,278
98.2,92.7,4249.0,3800.0,4380.0,3850.0,3500.0,4700.0,279
94.8,85.9,3491.0,3500.0,3660.0,3500.0,3200.0,4110.0,280
97.4,92.1,3577.0,3800.0,3834.0,3800.0,3500.0,4166.0,281
89.0,83.0,3306.0,3100.0,3550.0,3200.0,2980.0,3600.0,282
93.1,89.7,3887.0,3500.0,4012.0,3560.0,3300.0,4583.0,283
99.0,99.0,4889.0,4600.0,4997.0,4731.0,4350.0,5800.0,284
100.0,100.0,5160.0,4766.0,5313.0,5000.0,4500.0,5995.0,285
92.5,88.1,3595.0,3618.0,3565.0,3600.0,3400.0,3800.0,286
80.3,71.8,3699.0,3450.0,3763.0,3500.0,3190.0,4100.0,287
86.0,83.7,3872.0,3700.0,3952.0,3950.0,3338.0,4450.0,288
,,,,,,,,289
,,,,,,,,290
88.5,65.4,2643.0,2700.0,2682.0,2700.0,2500.0,2800.0,291
,,,,,,,,292
95.2,90.5,3332.0,3200.0,3346.0,3233.0,3000.0,3500.0,293
76.1,54.3,2896.0,2750.0,2922.0,2750.0,2523.0,2975.0,294
